scholar 학자
destination 목적지
aptitude 소질,적성
status 지위,신분
means 수단,방법,돈,수입
religion 종교
column 갈럼,단,기둥,원주
carbon_dioxide 이산화탄소
shelter 주거지,피신처,대피소,보호하다,피신처를_제공하다
profit 이익,수익,이익을_주다,이익을_얻다
poison 독,독살하다,중독시키다
anger 화,화나게_하다
thrill 흥분,전율,흥분시키다
crash 충돌,추락,충돌하다,추락하다
rent 빌리다,빌려_주다,임차_하다,임대_하다,집세,임대료
appeal 호소하다,요청하다,매력적이다,호소,요청,매력
bend 구부리다,구부러지다,숙이다
annoy 짜증나게_하다
invade 침략하다,침해하다
wander 배회하다,돌아다니다
insure 보장하다,확실히_하다,보험에_들다
afford ~할_수_있다,~할_여유가_있다
apologize 사과하다
civil 시민의,민간의
distant 먼
steady 꾸준한,안정된
vital 필수적인,활기찬,생명_유지에_필요한
universal 보편적인,일반적인
artificial 인공의,인조의
seemingly 겉보기에
